S.NO,DATE ,LIST OF APPILICATIONS,DATA USAGE PER APPILICATION,CONNECTION TYPE,NETWORK TYPE,PLAN TYPE,APPILICATION CATEGORY
1,08-01-2024,Google Chrome,10 KB,Mobile Data,5G,Unlimited,Web browser
2,08-01-2024,Instagram,49MB,Wifi,5G,Unlimited,Social Media
3,08-01-2024,Whatsapp,105MB,Mobile Data,4G,limited,Social Media
4,08-01-2024,Youtube,49.26MB,Mobile Data,4G,limited,Social Media
5,08-01-2024,Youtube Music,18.01MB,Wifi,5G,Unlimited,Music Stream Service
6,08-02-2024,Google ,16.53MB,Mobile Data,5G,limited,Web browser
7,08-02-2024,Stream,200.76MB,Mobile Data,5G,Unlimited,Game appilication
8,08-02-2024,Gun Sprint,69.06KB,Mobile Data,4G,limited,Game appilication
9,08-02-2024,Phonepe,4.54MB,Wifi,5G,Unlimited,Digital Payment
10,08-02-2024,Gmail,21.12MB,Mobile Data,5G,limited,Mailing
11,08-03-2024,Linkedin,17.72MB,Mobile Data,5G,Unlimited,Social Media
12,08-03-2024,Amazon,34.07MB,Mobile Data,4G,limited,Shopping
13,08-03-2024,Truecaller,8.79MB,Mobile Data,5G,Unlimited,Call Log
14,08-03-2024,Chatgpt,19.72MB,Wifi,5G,Unlimited,Automation Search 
15,08-03-2024,Google Chrome,187.87MB,Mobile Data,5G,Unlimited,Web browser
16,08-04-2024,Instagram,15.0MB,Mobile Data,5G,Unlimited,Social Media
17,08-04-2024,Whatsapp,24.09MB,Mobile Data,5G,limited,Social Media
18,08-04-2024,Youtube,54.05MB,Mobile Data,5G,Unlimited,Social Media
19,08-04-2024,Youtube Music,534.09KB,Wifi,5G,Unlimited,Music Stream Service
20,08-04-2024,Google,43.09MB,Mobile Data,5G,Unlimited,Web browser
21,08-05-2024,Demino's,2.07MB,Mobile Data,4G,limited,College appilication
22,08-05-2024,Lpu live,23.0KB,Wifi,5G,Unlimited,College appilication
23,08-05-2024,Phonepe,2.08KB,Mobile Data,5G,limited,Digital Payment
24,08-05-2024,Google pay,3.09KB,Mobile Data,5G,Unlimited,Mailing
25,08-05-2024,Linkedin,54.09MB,Mobile Data,5G,Unlimited,Social Media
26,08-06-2024,Bookmyshow,154.08MB,Wifi,4G,limited,Booking
27,08-06-2024,Rapido,34.09MB,Mobile Data,5G,Unlimited,Ride booking
28,08-06-2024,Chatgpt,78.0KB,Mobile Data,5G,limited,Automation Search 
29,08-06-2024,Google Chrome,34.09MB,Mobile Data,5G,Unlimited,Web browser
30,08-06-2024,Instagram,154.08MB,Mobile Data,5G,limited,Social Media
31,08-07-2024,Whatsapp,154.08KB,Wifi,4G,limited,Social Media
32,08-07-2024,Youtube,32.0MB,Mobile Data,5G,Unlimited,Social Media
33,08-07-2024,Youtube Music,10.03KB,Mobile Data,5G,limited,Music Stream Service
34,08-07-2024,Google,16.53MB,Mobile Data,5G,Unlimited,Web browser
35,08-07-2024,Demino's,34.09KB,Wifi,5G,Unlimited,College appilication
36,08-08-2024,Lpu live,23.0KB,Mobile Data,5G,limited,College appilication
37,08-08-2024,Phonepe,6.0KB,Mobile Data,5G,Unlimited,Digital Payment
38,08-08-2024,Gmail,34.09MB,Mobile Data,5G,limited,Mailing
39,08-08-2024,Linkedin,213.0KB,Mobile Data,5G,Unlimited,Social Media
40,08-08-2024,Amazon,45.0MB,Mobile Data,4G,limited,Shopping
41,08-09-2024,Truecaller,23.0KB,Wifi,5G,Unlimited,Call Log
42,08-09-2024,Chatgpt,67.08KB,Mobile Data,5G,Unlimited,Automation Search 
